"organisms","All_environments","C","M","Environment_H2S"
"Acetobacter orleanensis","mesophile---Bacteria-aerobe",0.011970734,0.026368349,"Non-H2S-rich"
"Belnapia moabensis","mesophile--neutrophile-Bacteria-aerobe",0.010261845,0.024536056,"Non-H2S-rich"
"Gluconacetobacter liquefaciens","mesophile---Bacteria-obligate aerobe",0.0110533,0.026678644,"Non-H2S-rich"
"Komagataeibacter kakiaceti","psychrophiles--neutrophile-Bacteria-aerobe",0.018399136,0.02972791,"Non-H2S-rich"
"Kozakia baliensis","mesophile--acidophile-Bacteria-obligate aerobe",0.011110424,0.02537721,"Non-H2S-rich"
"Rhodopila globiformis","mesophile---Bacteria-anaerobe",0.010999707,0.025500636,"Non-H2S-rich"
"Saccharibacter floricola","mesophile--neutrophile-Bacteria-aerobe",0.011670711,0.026132499,"Non-H2S-rich"
"Acidisphaera rubrifaciens","mesophile--acidophile-Bacteria-aerobe",0.009978883,0.023560569,"Non-H2S-rich"
"Roseomonas stagni","mesophile---Bacteria-aerobe",0.008946187,0.025878041,"Non-H2S-rich"
"Granulibacter bethesdensis","mesophile--neutrophile-Bacteria-obligate aerobe",0.01060685,0.026321617,"Non-H2S-rich"
"Acidaminococcus fermentans","mesophile---Bacteria-anaerobe",0.014894837,0.02937058,"Non-H2S-rich"
"Succinispira mobilis","mesophile-nonhalophile-neutrophile-Bacteria-obligate anaerobe",0.0137058,0.025263769,"Non-H2S-rich"
"Terriglobus saanensis","mesophile--neutrophile-Bacteria-aerobe",0.009333277,0.024697743,"Non-H2S-rich"
"Granulicella rosea","psychrophiles--acidophile-Bacteria-obligate aerobe",0.009695654,0.02408985,"Non-H2S-rich"
"Bryocella elongata","psychrophiles--acidophile-Bacteria-aerobe",0.009463235,0.024884665,"Non-H2S-rich"
"Schaalia vaccimaxillae","mesophile---Bacteria-anaerobe",0.008717991,0.024222642,"Non-H2S-rich"
"Actinomyces oricola","mesophile---Bacteria-anaerobe",0.008679743,0.020559321,"Non-H2S-rich"
"Trueperella bialowiezensis","mesophile--neutrophile-Bacteria-obligate aerobe",0.007025479,0.022936037,"Non-H2S-rich"
"Aeromonas salmonicida subsp. pectinolytica","mesophile---Bacteria-aerobe",0.013206295,0.027272758,"Non-H2S-rich"
"Oceanimonas baumannii","mesophile---Bacteria-obligate aerobe",0.012355787,0.027107034,"Non-H2S-rich"
"Tolumonas auensis","mesophile---Bacteria-anaerobe",0.013055484,0.026838629,"Non-H2S-rich"
"Alcaligenes faecalis subsp. phenolicus","mesophile---Bacteria-aerobe",0.011487366,0.025806709,"Non-H2S-rich"
"Brackiella oedipodis","mesophile---Bacteria-obligate aerobe",0.011858435,0.024652168,"Non-H2S-rich"
"Castellaniella caeni","mesophile--neutrophile-Bacteria-aerobe",0.011079748,0.023913966,"Non-H2S-rich"
"Pusillimonas noertemannii","mesophile---Bacteria-obligate aerobe",0.010574122,0.026517254,"Non-H2S-rich"
"Bordetella petrii","mesophile---Bacteria-obligate aerobe",0.010877552,0.024799786,"Non-H2S-rich"
"Advenella mimigardefordensis","mesophile---Bacteria-aerobe",0.011097638,0.026809835,"Non-H2S-rich"
"Candidimonas nitroreducens","mesophile---Bacteria-aerobe",0.011407858,0.025609954,"Non-H2S-rich"
"Kangiella koreensis","mesophile-slight_halophile-neutrophile-Bacteria-anaerobe",0.01075516,0.026137038,"Non-H2S-rich"
"Alicyclobacillus acidiphilus","thermophile--acidophile-Bacteria-obligate aerobe",0.010566249,0.027313096,"Non-H2S-rich"
"Effusibacillus pohliae","thermophile--acidophile-Bacteria-obligate aerobe",0.010326763,0.02695218,"Non-H2S-rich"
"Aestuariibacter salexigens","mesophile--neutrophile-Bacteria-obligate aerobe",0.011816756,0.027179925,"Non-H2S-rich"
"Alishewanella aestuarii","mesophile-moderate_halophile--Bacteria-aerobe",0.011510143,0.022778491,"Non-H2S-rich"
"Alteromonas genovensis","psychrophiles-moderate_halophile-neutrophile-Bacteria-aerobe",0.011061591,0.026421932,"Non-H2S-rich"
"Paraglaciecola polaris","psychrophiles-moderate_halophile--Bacteria-aerobe",0.01210872,0.026127949,"Non-H2S-rich"
"Marinimicrobium koreense","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.01026655,0.023802753,"Non-H2S-rich"
"Marinobacterium halophilum","-moderate_halophile-neutrophile-Bacteria-aerobe",0.012202786,0.027421124,"Non-H2S-rich"
"Microbulbifer hydrolyticus","mesophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.011931989,0.023868985,"Non-H2S-rich"
"Saccharophagus degradans","mesophile--neutrophile-Bacteria-aerobe",0.012172382,0.023680133,"Non-H2S-rich"
"Marinobacter flavimaris","mesophile-slight_halophile-neutrophile-Bacteria-obligate aerobe",0.010422005,0.027236492,"Non-H2S-rich"
"Haliea salexigens","mesophile--alkaliphile-Bacteria-aerobe",0.011786088,0.024150364,"Non-H2S-rich"
"Pseudohaliea rubra","mesophile--alkaliphile-Bacteria-aerobe",0.011246907,0.020746534,"Non-H2S-rich"
"Parahaliea mediterranea","mesophile---Bacteria-aerobe",0.011930041,0.023646244,"Non-H2S-rich"
"Aliagarivorans marinus","mesophile-slight_halophile-alkaliphile-Bacteria-anaerobe",0.012854943,0.025406744,"Non-H2S-rich"
"Anaerolinea thermophila","thermophile--neutrophile-Bacteria-anaerobe",0.009447254,0.025065936,"Non-H2S-rich"
"Leptolinea tardivitalis","mesophile--neutrophile-Bacteria-anaerobe",0.01061575,0.026783384,"Non-H2S-rich"
"Levilinea saccharolytica","mesophile--neutrophile-Bacteria-anaerobe",0.010264812,0.024548565,"Non-H2S-rich"
"Bellilinea caldifistulae","thermophile-nonhalophile-neutrophile-Bacteria-anaerobe",0.009711152,0.023670725,"Non-H2S-rich"
"Ornatilinea apprima","mesophile-nonhalophile-neutrophile-Bacteria-obligate anaerobe",0.010787691,0.026346322,"Non-H2S-rich"
"Hydrogenivirga caldilitoris","thermophile-nonhalophile-neutrophile-Bacteria-anaerobe",0.00990436,0.022192214,"Non-H2S-rich"
"Hydrogenobacter thermophilus","thermophile---Bacteria-aerobe",0.011475628,0.025241872,"Non-H2S-rich"
"Aurantimonas coralicida","mesophile---Bacteria-aerobe",0.008976287,0.026327592,"Non-H2S-rich"
"Martelella mediterranea","mesophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.009650563,0.02774055,"Non-H2S-rich"
"Aureimonas ureilytica","mesophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.008193026,0.024220412,"Non-H2S-rich"
"Anoxybacillus pushchinoensis","thermophile---Bacteria-anaerobe",0.009933904,0.030449378,"Non-H2S-rich"
"Viridibacillus arenosi","mesophile-moderate_halophile-alkaliphile-Bacteria-aerobe",0.008706447,0.028748568,"Non-H2S-rich"
"Staphylococcus argensis","mesophile---Bacteria-aerobe",0.007290371,0.028043998,"Non-H2S-rich"
"Microbacterium rhizomatis","mesophile---Bacteria-aerobe",0.006152661,0.019055256,"Non-H2S-rich"
"Fictibacillus gelatini","mesophile-moderate_halophile-neutrophile-Bacteria-aerobe",0.009514975,0.028951222,"Non-H2S-rich"
"Alkalicoccus saliphilus","mesophile--alkaliphile-Bacteria-obligate aerobe",0.007449093,0.030287478,"Non-H2S-rich"
"Bacillus alveayuensis","thermophile-slight_halophile-neutrophile-Bacteria-obligate aerobe",0.009007287,0.029192889,"Non-H2S-rich"
"Salibacterium qingdaonense","mesophile-moderate_halophile-alkaliphile-Bacteria-obligate aerobe",0.00804599,0.031195844,"Non-H2S-rich"
"Salipaludibacillus neizhouensis","mesophile-slight_halophile-alkaliphile-Bacteria-aerobe",0.008220779,0.029010993,"Non-H2S-rich"
"Alteribacillus iranensis","mesophile-moderate_halophile-neutrophile-Bacteria-aerobe",0.008290926,0.02970472,"Non-H2S-rich"
"Cerasibacillus quisquiliarum","thermophile-nonhalophile-alkaliphile-Bacteria-aerobe",0.008036061,0.029522644,"Non-H2S-rich"
"Halobacillus trueperi","mesophile-moderate_halophile-neutrophile-Bacteria-obligate aerobe",0.007740547,0.031247187,"Non-H2S-rich"
"Lentibacillus salicampi","-moderate_halophile-neutrophile-Bacteria-aerobe",0.007790475,0.030950867,"Non-H2S-rich"
"Marinococcus halophilus","mesophile---Bacteria-obligate aerobe",0.007356828,0.030087448,"Non-H2S-rich"
"Ornithinibacillus californiensis","mesophile-slight_halophile-neutrophile-Bacteria-obligate aerobe",0.007361189,0.028492081,"Non-H2S-rich"
"Paraliobacillus quinghaiensis","mesophile-moderate_halophile-alkaliphile-Bacteria-obligate aerobe",0.007500534,0.027653093,"Non-H2S-rich"
"Pontibacillus chungwhensis","mesophile-slight_halophile-alkaliphile-Bacteria-obligate aerobe",0.007574385,0.030189267,"Non-H2S-rich"
"Thalassobacillus devorans","mesophile-moderate_halophile-neutrophile-Bacteria-obligate aerobe",0.007501228,0.030787896,"Non-H2S-rich"
"Vulcanibacillus modesticaldus","thermophile-slight_halophile-neutrophile-Bacteria-obligate anaerobe",0.006115346,0.026328488,"Non-H2S-rich"
"Amphibacillus sediminis","mesophile--alkaliphile-Bacteria-aerobe",0.00754505,0.027100245,"Non-H2S-rich"
"Falsibacillus pallidus","mesophile--neutrophile-Bacteria-obligate aerobe",0.008808842,0.031009132,"Non-H2S-rich"
"Geobacillus kaustophilus","thermophile--neutrophile-Bacteria-obligate aerobe",0.010462864,0.027720219,"Non-H2S-rich"
"Parageobacillus thermantarcticus","thermophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.010383538,0.029030404,"Non-H2S-rich"
"Gracilibacillus dipsosauri","mesophile---Bacteria-obligate aerobe",0.008003096,0.028527445,"Non-H2S-rich"
"Virgibacillus necropolis","mesophile-moderate_halophile--Bacteria-aerobe",0.00826429,0.028848439,"Non-H2S-rich"
"Jeotgalibacillus campisalis","mesophile-slight_halophile-neutrophile-Bacteria-obligate aerobe",0.008103491,0.029547713,"Non-H2S-rich"
"Paucisalibacillus globulus","mesophile-nonhalophile-alkaliphile-Bacteria-obligate aerobe",0.007209358,0.028994762,"Non-H2S-rich"
"Halalkalibacillus halophilus","mesophile-moderate_halophile-alkaliphile-Bacteria-aerobe",0.006981266,0.029480232,"Non-H2S-rich"
"Terribacillus goriensis","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.007277338,0.028545366,"Non-H2S-rich"
"Lysinibacillus odysseyi","mesophile-slight_halophile-neutrophile-Bacteria-obligate aerobe",0.008913851,0.029633057,"Non-H2S-rich"
"Aquisalibacillus elongatus","mesophile-moderate_halophile-neutrophile-Bacteria-aerobe",0.00689504,0.028975434,"Non-H2S-rich"
"Salsuginibacillus kocurii","mesophile-moderate_halophile-alkaliphile-Bacteria-aerobe",0.00762188,0.029038945,"Non-H2S-rich"
"Salimicrobium album","mesophile---Bacteria-obligate aerobe",0.007172776,0.030342122,"Non-H2S-rich"
"Tumebacillus permanentifrigoris","mesophile---Bacteria-aerobe",0.009017281,0.027801297,"Non-H2S-rich"
"Sediminibacillus albus","mesophile-moderate_halophile-neutrophile-Bacteria-obligate aerobe",0.007696698,0.02800769,"Non-H2S-rich"
"Anaerobacillus alkalidiazotrophicus","mesophile-slight_halophile-alkaliphile-Bacteria-anaerobe",0.009236656,0.02746085,"Non-H2S-rich"
"Calditerricola satsumensis","thermophile-nonhalophile-neutrophile-Bacteria-aerobe",0.014576741,0.0217132,"Non-H2S-rich"
"Psychrobacillus psychrotolerans","mesophile---Bacteria-obligate aerobe",0.007582375,0.028685593,"Non-H2S-rich"
"Natribacillus halophilus","mesophile-moderate_halophile-alkaliphile-Bacteria-aerobe",0.007904879,0.030702862,"Non-H2S-rich"
"Acetomicrobium flavidum","thermophile---Bacteria-anaerobe",0.014587646,0.028444513,"Non-H2S-rich"
"Pseudobacteroides cellulosolvens","mesophile---Bacteria-anaerobe",0.013991102,0.02851035,"Non-H2S-rich"
"Bacteroides eggerthii","mesophile---Bacteria-anaerobe",0.014917326,0.029183521,"Non-H2S-rich"
"Chelatococcus daeguensis","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.009466136,0.024469466,"Non-H2S-rich"
"Camelimonas lactis","mesophile--neutrophile-Bacteria-aerobe",0.00950895,0.025762862,"Non-H2S-rich"
"Bifidobacterium boum","mesophile---Bacteria-anaerobe",0.01097574,0.02627731,"Non-H2S-rich"
"Scardovia wiggsiae","mesophile---Bacteria-obligate anaerobe",0.009717108,0.024637249,"Non-H2S-rich"
"Aeriscardovia aeriphila","mesophile--acidophile-Bacteria-anaerobe",0.008802298,0.025262509,"Non-H2S-rich"
"Bombiscardovia coagulans","mesophile---Bacteria-anaerobe",0.010575286,0.025506902,"Non-H2S-rich"
"Bogoriella caseilytica","mesophile-moderate_halophile-alkaliphile-Bacteria-obligate aerobe",0.006572766,0.019355122,"Non-H2S-rich"
"Georgenia ruanii","mesophile--neutrophile-Bacteria-aerobe",0.0069595,0.01797487,"Non-H2S-rich"
"Afipia massiliensis","mesophile---Bacteria-aerobe",0.009745488,0.026863598,"Non-H2S-rich"
"Bradyrhizobium oligotrophicum","mesophile---Bacteria-aerobe",0.010299687,0.025320418,"Non-H2S-rich"
"Bosea thiooxidans","mesophile--neutrophile-Bacteria-aerobe",0.00955349,0.024178033,"Non-H2S-rich"
"Rhodoblastus sphagnicola","mesophile--acidophile-Bacteria-anaerobe",0.011599427,0.023072301,"Non-H2S-rich"
"Rhodopseudomonas pseudopalustris","mesophile--neutrophile-Bacteria-anaerobe",0.010373288,0.024823374,"Non-H2S-rich"
"Brevibacterium celere","mesophile-moderate_halophile-alkaliphile-Bacteria-obligate aerobe",0.007259221,0.019849179,"Non-H2S-rich"
"Pseudochrobactrum saccharolyticum","mesophile---Bacteria-obligate aerobe",0.00972255,0.027535647,"Non-H2S-rich"
"Burkholderia pyrrocinia","mesophile---Bacteria-obligate aerobe",0.011148495,0.02349874,"Non-H2S-rich"
"Paraburkholderia caribensis","mesophile---Bacteria-obligate aerobe",0.011120433,0.02468238,"Non-H2S-rich"
"Trinickia soli","mesophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.011209251,0.02427691,"Non-H2S-rich"
"Mycetohabitans endofungorum","mesophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.012443024,0.024692788,"Non-H2S-rich"
"Oharaeibacter diazotrophicus","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.008574259,0.021416125,"Non-H2S-rich"
"Solibacillus kalamii","mesophile-slight_halophile-alkaliphile-Bacteria-obligate aerobe",0.007990721,0.028954462,"Non-H2S-rich"
"Cupriavidus taiwanensis","mesophile---Bacteria-obligate aerobe",0.011223384,0.025525517,"Non-H2S-rich"
"Limnobacter thiooxidans","--alkaliphile-Bacteria-obligate aerobe",0.011768786,0.02723909,"Non-H2S-rich"
"Pandoraea pulmonicola","mesophile---Bacteria-obligate aerobe",0.010531228,0.025258635,"Non-H2S-rich"
"Paucimonas lemoignei","mesophile---Bacteria-obligate aerobe",0.010849233,0.027665319,"Non-H2S-rich"
"Polynucleobacter sinensis","mesophile-nonhalophile--Bacteria-aerobe",0.011148869,0.026972309,"Non-H2S-rich"
"Caldisphaera lagunensis","thermophile--acidophile-Archaea-anaerobe",0.008323286,0.024332815,"Non-H2S-rich"
"Massilia psychrophila","psychrophiles-nonhalophile-neutrophile-Bacteria-aerobe",0.011722562,0.027675577,"Non-H2S-rich"
"Rhizobium altiplani","mesophile--neutrophile-Bacteria-aerobe",0.010779925,0.025829194,"Non-H2S-rich"
"Spiribacter roseus","mesophile-moderate_halophile-neutrophile-Bacteria-aerobe",0.009869387,0.023598682,"Non-H2S-rich"
"Piscinibacter defluvii","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.0109715,0.021843927,"Non-H2S-rich"
"Polaribacter haliotis","mesophile-slight_halophile-neutrophile-Bacteria-aerobe",0.007940412,0.021642569,"Non-H2S-rich"
"Fervidobacterium thailandense","hyperthermophile-nonhalophile-neutrophile-Bacteria-obligate anaerobe",0.008813171,0.022598022,"Non-H2S-rich"
"Mesorhizobium japonicum","mesophile--neutrophile-Bacteria-aerobe",0.010464692,0.026017206,"Non-H2S-rich"
"Thalassotalea euphylliae","mesophile-nonhalophile-alkaliphile-Bacteria-aerobe",0.010995121,0.024610521,"Non-H2S-rich"
"Paracoccus contaminans","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.00987273,0.027392176,"Non-H2S-rich"
"Pseudohongiella nitratireducens","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.01093329,0.027780583,"Non-H2S-rich"
"Suttonella ornithocola","mesophile---Bacteria-aerobe",0.012438278,0.023806613,"Non-H2S-rich"
"Alkalibacterium thalassium","mesophile-nonhalophile-alkaliphile-Bacteria-aerobe",0.007209995,0.028104546,"Non-H2S-rich"
"Allofustis seminis","mesophile---Bacteria-anaerobe",0.007801991,0.028755811,"Non-H2S-rich"
"Atopococcus tabaci","mesophile-moderate_halophile--Bacteria-aerobe",0.006012208,0.028844775,"Non-H2S-rich"
"Atopostipes suicloacalis","mesophile---Bacteria-anaerobe",0.005053596,0.026879485,"Non-H2S-rich"
"Carnobacterium pleistocenium","psychrophiles---Bacteria-anaerobe",0.006245516,0.027853909,"Non-H2S-rich"
"Granulicatella balaenopterae","mesophile---Bacteria-anaerobe",0.010092684,0.029293867,"Non-H2S-rich"
"Trichococcus pasteurii","mesophile---Bacteria-anaerobe",0.008113299,0.02915236,"Non-H2S-rich"
"Asticcacaulis excentricus","mesophile---Bacteria-obligate aerobe",0.009004368,0.024687205,"Non-H2S-rich"
"Brevundimonas bacteroides","mesophile---Bacteria-obligate aerobe",0.008403633,0.023469494,"Non-H2S-rich"
"Cellulomonas biazotea","mesophile---Bacteria-aerobe",0.006178304,0.014500722,"Non-H2S-rich"
"Chlorobaculum tepidum","mesophile---Bacteria-obligate anaerobe",0.0131042,0.02782393,"Non-H2S-rich"
"Prosthecochloris vibrioformis","mesophile---Bacteria-obligate anaerobe",0.012506051,0.027871112,"Non-H2S-rich"
"Winogradskyella arenosi","mesophile-slight_halophile--Bacteria-aerobe",0.008699439,0.02293179,"Non-H2S-rich"
"Roseiflexus castenholzii","thermophile--neutrophile-Bacteria-anaerobe",0.010647544,0.02337526,"Non-H2S-rich"
"Marichromatium bheemlicum","mesophile---Bacteria-obligate anaerobe",0.012031237,0.021297688,"Non-H2S-rich"
"Rheinheimera pacifica","mesophile---Bacteria-obligate aerobe",0.011492288,0.024283136,"Non-H2S-rich"
"Flavobacterium sinopsychrotolerans","psychrophiles-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.009049876,0.02469318,"Non-H2S-rich"
"Chrysiogenes arsenatis","mesophile---Bacteria-anaerobe",0.013387413,0.027032249,"Non-H2S-rich"
"Lactonifactor longoviformis","mesophile---Bacteria-anaerobe",0.017286593,0.032393055,"Non-H2S-rich"
"Natronincola ferrireducens","mesophile---Bacteria-anaerobe",0.010817579,0.029082751,"Non-H2S-rich"
"Oxobacter pfennigii","mesophile---Bacteria-anaerobe",0.013622625,0.030363069,"Non-H2S-rich"
"Tepidimicrobium xylanilyticum","thermophile-slight_halophile-alkaliphile-Bacteria-anaerobe",0.010441808,0.027722453,"Non-H2S-rich"
"Caloramator proteoclasticus","thermophile---Bacteria-anaerobe",0.013015255,0.026173746,"Non-H2S-rich"
"Caloranaerobacter azorensis","thermophile---Bacteria-anaerobe",0.01115114,0.026287567,"Non-H2S-rich"
"Caminicella sporogenes","thermophile---Bacteria-anaerobe",0.01113546,0.026315897,"Non-H2S-rich"
"Clostridium aceticum","mesophile---Bacteria-anaerobe",0.011603811,0.029687866,"Non-H2S-rich"
"Anaerocolumna aminovalerica","mesophile---Bacteria-anaerobe",0.013494576,0.029638916,"Non-H2S-rich"
"Ruminiclostridium cellobioparum","mesophile---Bacteria-obligate anaerobe",0.013876288,0.027886493,"Non-H2S-rich"
"Lacrimispora indolis","mesophile---Bacteria-anaerobe",0.007126172,0.027789846,"Non-H2S-rich"
"Romboutsia lituseburensis","mesophile---Bacteria-anaerobe",0.013849445,0.027416422,"Non-H2S-rich"
"Hathewaya proteolytica","mesophile--neutrophile-Bacteria-obligate anaerobe",0.01675994,0.031612222,"Non-H2S-rich"
"Gottschalkia purinilytica","mesophile--neutrophile-Bacteria-obligate anaerobe",0.012082667,0.025841174,"Non-H2S-rich"
"Acetoanaerobium sticklandii","mesophile---Bacteria-anaerobe",0.010480149,0.029979307,"Non-H2S-rich"
"Maledivibacter halophilus","mesophile---Bacteria-anaerobe",0.01208265,0.027801895,"Non-H2S-rich"
"Peptoclostridium litorale","mesophile--neutrophile-Bacteria-obligate anaerobe",0.01289304,0.033913015,"Non-H2S-rich"
"Anaerotignum neopropionicum","mesophile---Bacteria-obligate anaerobe",0.015902122,0.032471052,"Non-H2S-rich"
"Thermoclostridium stercorarium","thermophile---Bacteria-anaerobe",0.013593214,0.027835532,"Non-H2S-rich"
"Pseudorhodobacter antarcticus","psychrophiles-nonhalophile-neutrophile-Bacteria-aerobe",0.01062062,0.030393523,"Non-H2S-rich"
"Paramaledivibacter caminithermalis","mesophile---Bacteria-anaerobe",0.012285107,0.02718328,"Non-H2S-rich"
"Intestinibacter bartlettii","mesophile---Bacteria-anaerobe",0.015269642,0.027404218,"Non-H2S-rich"
"Mediterraneibacter glycyrrhizinilyticus","mesophile---Bacteria-anaerobe",0.017499475,0.033226963,"Non-H2S-rich"
"Enterocloster asparagiformis","mesophile---Bacteria-anaerobe",0.017460457,0.032329545,"Non-H2S-rich"
"Tindallia magadiensis","mesophile---Bacteria-anaerobe",0.010345455,0.033783907,"Non-H2S-rich"
"Alkaliphilus oremlandii","mesophile---Bacteria-anaerobe",0.010887447,0.030064234,"Non-H2S-rich"
"Thermohalobacter berrensis","thermophile---Bacteria-anaerobe",0.01030119,0.025025484,"Non-H2S-rich"
"Geosporobacter subterraneus","mesophile--neutrophile-Bacteria-anaerobe",0.012375946,0.031066967,"Non-H2S-rich"
"Anaerosporobacter mobilis","mesophile-nonhalophile-neutrophile-Bacteria-anaerobe",0.014996389,0.030111105,"Non-H2S-rich"
"Clostridiisalibacter paucivorans","mesophile--neutrophile-Bacteria-anaerobe",0.010859188,0.030302162,"Non-H2S-rich"
"Lutispora thermophila","thermophile-nonhalophile-neutrophile-Bacteria-anaerobe",0.013426316,0.030580769,"Non-H2S-rich"
"Butyricicoccus pullicaecorum","mesophile---Bacteria-anaerobe",0.01908947,0.029768819,"Non-H2S-rich"
"Proteiniclasticum ruminis","mesophile--neutrophile-Bacteria-anaerobe",0.008595099,0.032213797,"Non-H2S-rich"
"Anaerosalibacter bizertensis","mesophile--neutrophile-Bacteria-anaerobe",0.010212202,0.027415476,"Non-H2S-rich"
"Colwellia aestuarii","mesophile-slight_halophile-neutrophile-Bacteria-anaerobe",0.011690601,0.025437614,"Non-H2S-rich"
"Acidovorax valerianellae","mesophile---Bacteria-obligate aerobe",0.010877557,0.024893067,"Non-H2S-rich"
"Brachymonas chironomi","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.011276574,0.027456033,"Non-H2S-rich"
"Comamonas badia","mesophile---Bacteria-obligate aerobe",0.010934178,0.025779738,"Non-H2S-rich"
"Curvibacter delicatus","mesophile---Bacteria-aerobe",0.011107935,0.026515434,"Non-H2S-rich"
"Hydrogenophaga taeniospiralis","mesophile---Bacteria-aerobe",0.011284593,0.026071908,"Non-H2S-rich"
"Malikia granosa","mesophile---Bacteria-obligate aerobe",0.011341826,0.023682809,"Non-H2S-rich"
"Polaromonas naphthalenivorans","psychrophiles--neutrophile-Bacteria-aerobe",0.012207052,0.026786259,"Non-H2S-rich"
"Simplicispira psychrophila","psychrophiles---Bacteria-obligate aerobe",0.011674182,0.02560593,"Non-H2S-rich"
"Luteibaculum oceani","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.010770565,0.021819443,"Non-H2S-rich"
"Variovorax soli","mesophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.010128978,0.025312367,"Non-H2S-rich"
"Xenophilus azovorans","mesophile---Bacteria-aerobe",0.010797842,0.024633264,"Non-H2S-rich"
"Tepidicella xavieri","mesophile-nonhalophile-alkaliphile-Bacteria-obligate aerobe",0.010819102,0.025276172,"Non-H2S-rich"
"Pseudacidovorax intermedius","mesophile---Bacteria-obligate aerobe",0.010505814,0.024828878,"Non-H2S-rich"
"Caenimonas koreensis","mesophile--neutrophile-Bacteria-aerobe",0.010453042,0.027631017,"Non-H2S-rich"
"Pseudorhodoferax soli","mesophile---Bacteria-aerobe",0.010696133,0.024495603,"Non-H2S-rich"
"Limnohabitans curvus","psychrophiles-nonhalophile--Bacteria-aerobe",0.011370922,0.028690294,"Non-H2S-rich"
"Conexibacter woesei","mesophile---Bacteria-obligate aerobe",0.008658819,0.017078681,"Non-H2S-rich"
"Atopobium fossor","mesophile---Bacteria-obligate anaerobe",0.015332409,0.028002786,"Non-H2S-rich"
"Collinsella stercoris","mesophile---Bacteria-anaerobe",0.016644224,0.028392215,"Non-H2S-rich"
"Coriobacterium glomerans","mesophile---Bacteria-anaerobe",0.016897859,0.027781178,"Non-H2S-rich"
"Cryptobacterium curtum","mesophile---Bacteria-obligate anaerobe",0.016642775,0.026086443,"Non-H2S-rich"
"Eggerthella sinensis","mesophile---Bacteria-anaerobe",0.018602098,0.027247429,"Non-H2S-rich"
"Olsenella uli","mesophile---Bacteria-obligate anaerobe",0.016661813,0.02691496,"Non-H2S-rich"
"Slackia heliotrinireducens","mesophile---Bacteria-anaerobe",0.018269022,0.030483154,"Non-H2S-rich"
"Adlercreutzia equolifaciens","mesophile---Bacteria-anaerobe",0.017757557,0.027005721,"Non-H2S-rich"
"Paraeggerthella hongkongensis","mesophile---Bacteria-anaerobe",0.017423379,0.027309638,"Non-H2S-rich"
"Gordonibacter pamelaeae","mesophile---Bacteria-anaerobe",0.01827117,0.02676975,"Non-H2S-rich"
"Corynebacterium callunae","mesophile---Bacteria-obligate aerobe",0.00776305,0.022780568,"Non-H2S-rich"
"Cyclobacterium amurskyense","psychrophiles-moderate_halophile--Bacteria-obligate aerobe",0.008288636,0.025697401,"Non-H2S-rich"
"Sneathiella glossodoripedis","mesophile---Bacteria-aerobe",0.011786198,0.02740078,"Non-H2S-rich"
"Fluviicola taffensis","psychrophiles---Bacteria-aerobe",0.010872236,0.023656065,"Non-H2S-rich"
"Owenweeksia hongkongensis","mesophile-slight_halophile-neutrophile-Bacteria-aerobe",0.008909272,0.026518942,"Non-H2S-rich"
"Adhaeribacter aquaticus","mesophile-nonhalophile--Bacteria-aerobe",0.008703528,0.023262963,"Non-H2S-rich"
"Arcicella aurantiaca","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.009480139,0.024755276,"Non-H2S-rich"
"Cytophaga hutchinsonii","mesophile---Bacteria-aerobe",0.011573452,0.025180057,"Non-H2S-rich"
"Dyadobacter crusticola","mesophile-nonhalophile-neutrophile-Bacteria-obligate aerobe",0.008961184,0.024462931,"Non-H2S-rich"
"Emticicia oligotrophica","mesophile--alkaliphile-Bacteria-aerobe",0.009519387,0.024715178,"Non-H2S-rich"
"Flectobacillus major","mesophile---Bacteria-aerobe",0.009560065,0.023142566,"Non-H2S-rich"
"Hymenobacter actinosclerus","mesophile---Bacteria-aerobe",0.008523015,0.020416058,"Non-H2S-rich"
"Leadbetterella byssophila","mesophile-nonhalophile-neutrophile-Bacteria-aerobe",0.009266572,0.023843795,"Non-H2S-rich"
"Microscilla marina","psychrophiles---Bacteria-obligate aerobe",0.009155421,0.024241903,"Non-H2S-rich"
"Runella limosa","mesophile---Bacteria-aerobe",0.009753781,0.023356065,"Non-H2S-rich"
"Spirosoma panaciterrae","mesophile--neutrophile-Bacteria-aerobe",0.008879581,0.023020702,"Non-H2S-rich"
